journal,year,title,authors,abstract,url
The Review of Financial Studies,2021,Investors’ Attention to Corporate Governance,"Peter Iliev, Jonathan Kalodimos and Michelle Lowry","Using unique data on investor views of EDGAR company filings, we document that many investors engage in governance research. However, investors’ monitoring is disproportionately focused on large firms and firms with meetings outside the busy spring proxy season. Using an instrumental variables approach that isolates the drop in governance attention during the busy proxy season, we show that governance research is related to investors’ monitoring of firms, through voice and exit. Moreover, governance research disciplines management, who, as a result, reduce investments and increase payouts. The concentration of attention results in joint monitoring of a relatively small subset of firms.",http://hdl.handle.net/10.1093/rfs/hhab003
The Review of Financial Studies,2021,The Costs and Benefits of Shareholder Democracy: Gadflies and Low-Cost Activism,Nickolay Gantchev and Mariassunta Giannetti,"We show that there is cross-sectional variation in the quality of shareholder proposals. On average, proposals submitted by the most active individual sponsors are less likely to receive majority support, but they occasionally pass if shareholders mistakenly support them and may even be implemented due to directors’ career concerns. While gadfly proposals destroy shareholder value if they pass, shareholder proposals on average are value enhancing in firms with more informed shareholders. We conclude that more informed voting could increase the benefits associated with shareholder proposals.",http://hdl.handle.net/10.1093/rfs/hhaa128
The Review of Financial Studies,2021,Shareholder Perks and Firm Value,"Jonathan M Karpoff, Robert Schonlau and Katsushi Suzuki","Shareholder perks are in-kind gifts or purchase discounts that disproportionately reward small shareholders. Data from Japanese firms indicate that firms initiating perk programs attract individual retail shareholders and experience increases in share values. We find support for three channels by which perks increase firm value: an increase in share liquidity, a decrease in the equity cost of capital, and signaling to investors. A fourth channel, by which perks help to market the firm’s products to consumers, receives mixed support. We do not find evidence that perk programs work to entrench managers.",http://hdl.handle.net/10.1093/rfs/hhaa141
The Review of Financial Studies,2021,The Whack-a-Mole Game: Tobin Taxes and Trading Frenzy,"Jinghan Cai, Jibao He, Wenxi Jiang and Wei Xiong","To dampen trading frenzy in the stock market, the Chinese government tripled the stamp tax for stock trading on May 30, 2007. The greatly increased trading cost triggered a migration of the trading frenzy from the stock market to the warrant market, which was not subject to the stamp tax. This migration exacerbated a price bubble in the warrant market. Our analysis of investor account data uncovers not only large inflows of new investors to the warrant market but also greatly intensified trading by existing warrant investors. This episode exemplifies the so-called “whack-a-mole” game in financial regulations.",http://hdl.handle.net/10.1093/rfs/hhaa135
The Review of Financial Studies,2021,What If Dividends Were Tax-Exempt? Evidence from a Natural Experiment,"Dusan Isakov, Christophe Pérignon and Jean-Philippe Weisskopf","We study the effect of dividend taxes on the payout and investment policies of publicly listed firms. We exploit a unique setting in Switzerland where, following the corporate tax reform of 2011, some but not all firms were suddenly able to pay tax-exempt dividends. We show that treated firms increase their dividend payout by around 30 after the tax cut. The effect on payout is less pronounced for firms prone to agency conflicts. We find a significant positive abnormal stock return after the announcement of the payment of a tax-exempt dividend. However, reducing dividend taxes does not boost investment.",http://hdl.handle.net/10.1093/rfs/hhab010
The Review of Financial Studies,2021,Debt Maturity and the Dynamics of Leverage,Thomas Dangl and Josef Zechner,"This paper shows that short debt maturities commit equityholders to leverage reductions when refinancing expiring debt in low-profitability states. However, shorter maturities lead to higher transaction costs since larger amounts of expiring debt need to be refinanced. We show that this trade-off between higher expected transaction costs against the commitment to reduce leverage in low-profitability states motivates an optimal maturity structure of corporate debt. Since firms with high costs of financial distress and risky cash flows benefit most from committing to leverage reductions, they have a stronger motive to issue short-term debt. Evidence supports the model’s predictions.",http://hdl.handle.net/10.1093/rfs/hhaa148
The Review of Financial Studies,2021,Portfolio Liquidity and Security Design with Private Information,"Peter DeMarzo, David Frankel and Yu Jin","A privately informed seller seeks to liquidate a portfolio to raise cash. Each asset’s liquidity thus depends on the impact of its sale on the value of the entire portfolio. We demonstrate the importance of cross-signaling and derive sufficient conditions for a liquidity “pecking order” that determines the order of sale. For assets backed by a common pool, liquidity naturally aligns with seniority. Finally, we extend the portfolio liquidation game to consider security design and demonstrate the optimality of pooling securities and selling senior tranches or debt secured by the pool, with retention increasing in asset quality or informational asymmetry.",http://hdl.handle.net/10.1093/rfs/hhaa147
The Review of Financial Studies,2021,Monitoring in Originate-to-Distribute Lending: Reputation versus Skin in the Game,Andrew Winton and Vijay Yerramilli,"Banks face liquidity and capital pressures that favor selling off the loans they originate, but loan sales undermine their monitoring incentives. A bank’s loan default history is a noisy measure of its past monitoring choices, which can serve as a reputation mechanism to incentivize current monitoring. In equilibrium, higher reputation banks monitor (weakly) more intensively; if retention is credible, they generally retain less of the loans they originate. Monitoring is difficult to sustain in periods with uncommonly large spikes in loan demand (“booms”), especially for low-reputation banks, which are more likely to accommodate boom demand and forgo monitoring.",http://hdl.handle.net/10.1093/rfs/hhab012
The Review of Financial Studies,2021,The Price of Law: The Case of the Eurozone Collective Action Clauses,"Elena Carletti, Paolo Colla, Mitu Gulati and Steven Ongena","We analyze the price effect of the introduction of collective action clauses (CACs) in newly issued sovereign bonds of eurozone countries as of January 1, 2013. By allowing a majority of creditors to modify payment obligations, such clauses reduce the likelihood of holdouts, while facilitating strategic default by the sovereign. We find that CAC bonds trade in the secondary market at lower yields than otherwise similar no-CAC bonds. The yield differential widens in countries with worse ratings and in those with stronger legal systems, especially if of midrange quality. Hence, CACs are seen as pro- rather than anticreditor provisions.",http://hdl.handle.net/10.1093/rfs/hhaa140
The Review of Financial Studies,2021,"Information Choice, Uncertainty, and Expected Returns","Charles Cao, David Gempesaw and Timothy T Simin","We investigate how information choices affect equity returns and risk. Building on an existing theoretical model of information and investment choice, we estimate a learning index that reflects the expected benefits of learning about an asset. High learning index stocks have lower future returns and risk compared to low learning index stocks. Analysis of a conditional asset pricing model, long-run patterns in returns and volatilities, other measures of information flow, and the information environment surrounding earnings announcements reinforce our interpretation of the learning index. Our findings support the model’s predictions and illustrate a novel empirical measure of investor learning.",http://hdl.handle.net/10.1093/rfs/hhaa146
